question,answer,contexts,ground_truth,answer_relevancy,faithfulness,context_precision,answer_correctness
What is Python?,"Python is a high-level, interpreted programming language known for its simplicity and readability. It is widely used in web development, automation, data science, machine learning, and artificial intelligence applications.","[""Artificial Intelligence Handbook\n Python\nPython is a high-level, interpreted programming language known for its simplicity and readability. It\nis widely used in web development, automation, data science, machine learning, and artificial\nintelligence applications.\nMachine Learning\nMachine Learning is a subset of Artificial Intelligence that enables computers to learn patterns from\ndata and make predictions without being explicitly programmed.\nArtificial Intelligence\nAnswer Relevancy\nAnswer relevancy measures how well a generated response addresses the user's question.\nContext Precision\nContext precision measures how relevant retrieved documents are to the user's query.\nRAGAS\nRAGAS is an evaluation framework for Retrieval-Augmented Generation systems.\nStreamlit\nStreamlit is a Python framework for building interactive dashboards and web applications.\nEvaluation Pipeline\nArtificial Intelligence\nArtificial Intelligence (AI) refers to the simulation of human intelligence in machines.\nLarge Language Models\nLarge Language Models (LLMs) are AI models trained on massive amounts of text data.\nRetrieval-Augmented Generation (RAG)\nRAG combines information retrieval with language generation to provide more accurate responses.\nLangChain\nLangChain is an open-source framework used to build applications powered by large language\nmodels.\nVector Databases""]",Python is a high-level interpreted programming language.,,,,
What is Machine Learning?,Machine Learning is a subset of Artificial Intelligence that enables computers to learn patterns from data and make predictions without being explicitly programmed.,"['Artificial Intelligence Handbook\n Python\nPython is a high-level, interpreted programming language known for its simplicity and readability. It\nis widely used in web development, automation, data science, machine learning, and artificial\nintelligence applications.\nMachine Learning\nMachine Learning is a subset of Artificial Intelligence that enables computers to learn patterns from\ndata and make predictions without being explicitly programmed.\nArtificial Intelligence\nArtificial Intelligence\nArtificial Intelligence (AI) refers to the simulation of human intelligence in machines.\nLarge Language Models\nLarge Language Models (LLMs) are AI models trained on massive amounts of text data.\nRetrieval-Augmented Generation (RAG)\nRAG combines information retrieval with language generation to provide more accurate responses.\nLangChain\nLangChain is an open-source framework used to build applications powered by large language\nmodels.\nVector Databases\nmodels.\nVector Databases\nVector databases store numerical representations of text called embeddings.\nEmbeddings\nEmbeddings are numerical vector representations of text, images, or other data.\nFAISS\nFAISS is an open-source library developed by Meta for efficient similarity search of dense vectors.\nGroq\nGroq is an AI inference platform that provides extremely fast execution of large language models.\nHallucination in AI']",Machine Learning enables systems to learn patterns from data.,,,0.9999999999,
What is RAG?,RAG (Retrieval-Augmented Generation) combines information retrieval with language generation to provide more accurate responses.,"[""Answer Relevancy\nAnswer relevancy measures how well a generated response addresses the user's question.\nContext Precision\nContext precision measures how relevant retrieved documents are to the user's query.\nRAGAS\nRAGAS is an evaluation framework for Retrieval-Augmented Generation systems.\nStreamlit\nStreamlit is a Python framework for building interactive dashboards and web applications.\nEvaluation Pipeline\nArtificial Intelligence\nArtificial Intelligence (AI) refers to the simulation of human intelligence in machines.\nLarge Language Models\nLarge Language Models (LLMs) are AI models trained on massive amounts of text data.\nRetrieval-Augmented Generation (RAG)\nRAG combines information retrieval with language generation to provide more accurate responses.\nLangChain\nLangChain is an open-source framework used to build applications powered by large language\nmodels.\nVector Databases\nHallucination in AI\nHallucination occurs when a language model generates information that is incorrect or unsupported\nby context.\nFaithfulness\nFaithfulness measures whether an AI-generated answer is supported by retrieved context.""]",RAG combines retrieval and generation.,,1.0,,0.5723503680656125
What is LangChain?,LangChain is an open-source framework used to build applications powered by large language models.,"[""Artificial Intelligence\nArtificial Intelligence (AI) refers to the simulation of human intelligence in machines.\nLarge Language Models\nLarge Language Models (LLMs) are AI models trained on massive amounts of text data.\nRetrieval-Augmented Generation (RAG)\nRAG combines information retrieval with language generation to provide more accurate responses.\nLangChain\nLangChain is an open-source framework used to build applications powered by large language\nmodels.\nVector Databases\nAnswer Relevancy\nAnswer relevancy measures how well a generated response addresses the user's question.\nContext Precision\nContext precision measures how relevant retrieved documents are to the user's query.\nRAGAS\nRAGAS is an evaluation framework for Retrieval-Augmented Generation systems.\nStreamlit\nStreamlit is a Python framework for building interactive dashboards and web applications.\nEvaluation Pipeline\nHallucination in AI\nHallucination occurs when a language model generates information that is incorrect or unsupported\nby context.\nFaithfulness\nFaithfulness measures whether an AI-generated answer is supported by retrieved context.""]",LangChain is a framework for building LLM applications.,0.9999999999999996,,,
What is FAISS?,FAISS is an open-source library developed by Meta for efficient similarity search of dense vectors.,"[""models.\nVector Databases\nVector databases store numerical representations of text called embeddings.\nEmbeddings\nEmbeddings are numerical vector representations of text, images, or other data.\nFAISS\nFAISS is an open-source library developed by Meta for efficient similarity search of dense vectors.\nGroq\nGroq is an AI inference platform that provides extremely fast execution of large language models.\nHallucination in AI\nAnswer Relevancy\nAnswer relevancy measures how well a generated response addresses the user's question.\nContext Precision\nContext precision measures how relevant retrieved documents are to the user's query.\nRAGAS\nRAGAS is an evaluation framework for Retrieval-Augmented Generation systems.\nStreamlit\nStreamlit is a Python framework for building interactive dashboards and web applications.\nEvaluation Pipeline\nArtificial Intelligence\nArtificial Intelligence (AI) refers to the simulation of human intelligence in machines.\nLarge Language Models\nLarge Language Models (LLMs) are AI models trained on massive amounts of text data.\nRetrieval-Augmented Generation (RAG)\nRAG combines information retrieval with language generation to provide more accurate responses.\nLangChain\nLangChain is an open-source framework used to build applications powered by large language\nmodels.\nVector Databases""]",FAISS is a similarity search library for dense vectors.,,1.0,,
What is Groq?,Groq is an AI inference platform that provides extremely fast execution of large language models.,"[""models.\nVector Databases\nVector databases store numerical representations of text called embeddings.\nEmbeddings\nEmbeddings are numerical vector representations of text, images, or other data.\nFAISS\nFAISS is an open-source library developed by Meta for efficient similarity search of dense vectors.\nGroq\nGroq is an AI inference platform that provides extremely fast execution of large language models.\nHallucination in AI\nAnswer Relevancy\nAnswer relevancy measures how well a generated response addresses the user's question.\nContext Precision\nContext precision measures how relevant retrieved documents are to the user's query.\nRAGAS\nRAGAS is an evaluation framework for Retrieval-Augmented Generation systems.\nStreamlit\nStreamlit is a Python framework for building interactive dashboards and web applications.\nEvaluation Pipeline\nArtificial Intelligence\nArtificial Intelligence (AI) refers to the simulation of human intelligence in machines.\nLarge Language Models\nLarge Language Models (LLMs) are AI models trained on massive amounts of text data.\nRetrieval-Augmented Generation (RAG)\nRAG combines information retrieval with language generation to provide more accurate responses.\nLangChain\nLangChain is an open-source framework used to build applications powered by large language\nmodels.\nVector Databases""]",Groq is a fast AI inference platform.,,,0.9999999999,0.7171220820632986
What are embeddings?,"Embeddings are numerical vector representations of text, images, or other data.","['models.\nVector Databases\nVector databases store numerical representations of text called embeddings.\nEmbeddings\nEmbeddings are numerical vector representations of text, images, or other data.\nFAISS\nFAISS is an open-source library developed by Meta for efficient similarity search of dense vectors.\nGroq\nGroq is an AI inference platform that provides extremely fast execution of large language models.\nHallucination in AI\nArtificial Intelligence\nArtificial Intelligence (AI) refers to the simulation of human intelligence in machines.\nLarge Language Models\nLarge Language Models (LLMs) are AI models trained on massive amounts of text data.\nRetrieval-Augmented Generation (RAG)\nRAG combines information retrieval with language generation to provide more accurate responses.\nLangChain\nLangChain is an open-source framework used to build applications powered by large language\nmodels.\nVector Databases\nHallucination in AI\nHallucination occurs when a language model generates information that is incorrect or unsupported\nby context.\nFaithfulness\nFaithfulness measures whether an AI-generated answer is supported by retrieved context.']",Embeddings are vector representations of data.,,1.0,,
What is hallucination in AI?,Hallucination in AI occurs when a language model generates information that is incorrect or unsupported by context.,"['Hallucination in AI\nHallucination occurs when a language model generates information that is incorrect or unsupported\nby context.\nFaithfulness\nFaithfulness measures whether an AI-generated answer is supported by retrieved context.\nEvaluation Pipeline\nAn evaluation pipeline automatically measures answer quality, retrieval quality, and hallucination\nrates.\nArtificial Intelligence\nArtificial Intelligence (AI) refers to the simulation of human intelligence in machines.\nLarge Language Models\nLarge Language Models (LLMs) are AI models trained on massive amounts of text data.\nRetrieval-Augmented Generation (RAG)\nRAG combines information retrieval with language generation to provide more accurate responses.\nLangChain\nLangChain is an open-source framework used to build applications powered by large language\nmodels.\nVector Databases']",Hallucination is when AI generates unsupported information.,,0.5,0.9999999999,
What is answer relevancy?,Answer relevancy measures how well a generated response addresses the user's question.,"[""Evaluation Pipeline\nAn evaluation pipeline automatically measures answer quality, retrieval quality, and hallucination\nrates.\nAnswer Relevancy\nAnswer relevancy measures how well a generated response addresses the user's question.\nContext Precision\nContext precision measures how relevant retrieved documents are to the user's query.\nRAGAS\nRAGAS is an evaluation framework for Retrieval-Augmented Generation systems.\nStreamlit\nStreamlit is a Python framework for building interactive dashboards and web applications.\nEvaluation Pipeline\nHallucination in AI\nHallucination occurs when a language model generates information that is incorrect or unsupported\nby context.\nFaithfulness\nFaithfulness measures whether an AI-generated answer is supported by retrieved context.""]",Answer relevancy measures how well an answer addresses a question.,0.6983844782033543,1.0,,0.9666131473463537
What is RAGAS?,RAGAS is an evaluation framework for Retrieval-Augmented Generation systems.,"[""Answer Relevancy\nAnswer relevancy measures how well a generated response addresses the user's question.\nContext Precision\nContext precision measures how relevant retrieved documents are to the user's query.\nRAGAS\nRAGAS is an evaluation framework for Retrieval-Augmented Generation systems.\nStreamlit\nStreamlit is a Python framework for building interactive dashboards and web applications.\nEvaluation Pipeline\nArtificial Intelligence\nArtificial Intelligence (AI) refers to the simulation of human intelligence in machines.\nLarge Language Models\nLarge Language Models (LLMs) are AI models trained on massive amounts of text data.\nRetrieval-Augmented Generation (RAG)\nRAG combines information retrieval with language generation to provide more accurate responses.\nLangChain\nLangChain is an open-source framework used to build applications powered by large language\nmodels.\nVector Databases\nmodels.\nVector Databases\nVector databases store numerical representations of text called embeddings.\nEmbeddings\nEmbeddings are numerical vector representations of text, images, or other data.\nFAISS\nFAISS is an open-source library developed by Meta for efficient similarity search of dense vectors.\nGroq\nGroq is an AI inference platform that provides extremely fast execution of large language models.\nHallucination in AI""]",RAGAS is a framework for evaluating RAG systems.,,,0.9999999999,
